 rec_name,rec_instructions,cooking_time,serving_pax,cuisine,rec_type,ingredients,quantity,rec_photo
Camp Cornbread  ,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking pan.
Place the muffin mix a large mixing bowl. Stir in the milk and egg. Mix in the cream corn and sugar. Pour batter into prepared pan.
Bake in preheated oven for 30 minutes, or until a knife inserted into the center of pan comes out clean.
",35,,,,"Muffin,Milk,Egg,Cream,White Sugar",,https://images.media-allrecipes.com/userphotos/250x250/895205.jpg
Old,"'Spray two cookie sheets with non-stick spray coating.
In a 4 quart saucepan over medium-high heat, combine the sugar, corn syrup and water. Heat to boiling and add peanuts. Cook until peanuts become golden in color and syrup mixture beads off nuts when raised out of pan. Quickly mix in the salt and baking soda until well blended.
Pour the mixture onto the prepared cookie sheets. Allow mixture to spread on it''s own. Cool completely, and break into pieces. Store in air-tight container or plastic bag.
'",75,,,,"White Sugar,Corn Syrup,Water,Peanut,Salt,Baking Soda",,https://images.media-allrecipes.com/userphotos/250x250/63761.jpg
Jill's Vegetable Chili,"In a large pot over medium heat, cook turkey until browned.  Stir in onions, cover and cook 5 minutes.
Stir in garlic, chili powder, cumin and cinnamon and cook until fragrant, about a minute.  Pour in tomatoes and bring to a boil.  Stir in broth, kidney beans, pinto beans and corn and bring to a boil again.  Then reduce heat and simmer 10 minutes, or until thoroughly heated.
",45,,,,"Turkey,Onion,Garlic,Chili,Cumin,Cinnamon,Tomato,Chicken Broth,Bean,Bean,Corn",,https://images.media-allrecipes.com/userphotos/560x315/1669750.jpg
Lime Spareribs  ,"Cut ribs into serving size pieces and place in a 9x13 inch baking dish. Preheat oven to 325 degrees F (165 degrees C).
In a medium saucepan saute onion, garlic and mushrooms in oil until tender. Add vinegar, honey, lime juice, mustard, salt, pepper, soy sauce, water and chili sauce and mix together well. Warm mixture throughout.
Pour this sauce over the ribs and bake in the preheated oven for 1 hour or until ribs are tender and internal temperature has reached 160 degrees F (70 degrees C). Baste often with sauce.
",75,,,,"Pork,Onion,Garlic,Mushroom,Olive,Red Wine,Honey,Lime Juice,Mustard,Salt,Black Pepper,Soy Sauce,Water,Chili",,https://images.media-allrecipes.com/userphotos/560x315/3759619.jpg
Lemon Cream Pasta with Chicken  ,"Preheat oven to 350 degrees F (175 degrees C).  Place chicken in a lightly greased baking dish.  Squeeze lemon over both sides of the chicken breasts and season both sides using 1 1/2 teaspoons garlic powder and 3/4 teaspoon pepper.  Bake for 40 minutes, or until juices run clear and chicken is no longer pink inside.
Meanwhile, in a large saucepan, season the chicken broth with the remaining 1/2 teaspoon garlic powder and 1/4 teaspoon pepper.  Bring to a boil and add lemon juice and pasta.  Cook over medium heat, stirring occasionally, until all liquid is absorbed, about 25 minutes.
Cut cooked chicken into bite-sized pieces and stir into cooked pasta, along with the cream and lemon zest.  Cook, stirring, over low heat for 5 minutes.  Remove from heat and let stand 5 minutes.  Stir thoroughly before serving.
",70,,,,"Chicken,Lemon,Garlic,Black Pepper,Chicken Broth,Lemon Juice,Pasta,Cream,Lemon",,https://images.media-allrecipes.com/userphotos/250x250/259483.jpg
Dill Cucumber Dip  ,"Place cream cheese in a medium bowl. Beat until smooth. Stir in cucumbers, mayonnaise, fresh lemon juice, dill weed and hot pepper sauce.
",5,,,,"Cream Cheese,Cucumber,Mayonnaise,Lemon Juice,Dill,Hot Pepper",,https://images.media-allrecipes.com/userphotos/250x250/75153.jpg
Sausage Potato Bake  ,"For oven: Preheat oven to 350 degrees F (175 degrees C).
In a 4 quart casserole dish, combine the potatoes, kielbasa OR sausage, mushroom soup and vegetable beef soup. Mix together well.
Bake at 350 degrees F (175 degrees C) for 1 1/2 hours.
For slow cooker: Place the potatoes, kielbasa OR sausage, mushroom soup and vegetable soup in a slow cooker.
Cook on low setting for 6 to 8 hours.
",105,,,,"Potato,Sausage,Mushroom,Vegetable",,https://images.media-allrecipes.com/userphotos/560x315/8952.jpg
Adrienne's Tom Ka Gai  ',"In a large saucepan over medium heat, heat peanut oil.  Stir in garlic, ginger, lemon grass, red pepper, coriander and cumin and cook until fragrant, 2 minutes.  Stir in chicken and onion and cook, stirring, until chicken is white and onion is translucent, 5 minutes.  Stir in bok choy and cook until it begins to wilt, 5 to 10 minutes.  Stir in water, coconut milk, fish sauce and cilantro.  Simmer until chicken is thoroughly cooked and flavors are well blended, 30 minutes.
",60,,,,"Peanut Oil,Garlic,Ginger,Lemon,Red Pepper,Coriander,Cumin,Chicken,Onion,Bok Choy,Water,Coconut,Sauce,Cilantro",,https://images.media-allrecipes.com/userphotos/250x250/214855.jpg
Key Lime Pie IX  ,"In a medium bowl, blend together condensed milk, lime juice and zest. Mix in egg yolks and whole egg. Pour mixture into crust, then cover and refrigerate for 1 hour.
Preheat oven to 350 degrees F (175 degrees C).
To Make Meringue: In a large glass or metal mixing bowl, beat egg whites until foamy. Gradually add sugar, continuing to beat until whites form stiff peaks. Spread meringue over pie, covering completely.
Bake in preheated oven for 15 minutes. Chill before serving.
",95,,,,"Milk,Lime Juice,Lime,Egg,Egg,Ham,Egg,White Sugar",,https://images.media-allrecipes.com/userphotos/250x250/405093.jpg
Crema de Calabazines  ,"'Clean and quarter zucchini and potatoes. Peel and chop onion. In a large pot boil zucchini, potatoes and onion in water (just covering them) until very tender. Drain vegetables, but retain stock.
In a blender, or with a hand blender, puree the cheese, zucchini, potatoes, onion and bouillon while adding stock, until desired consistency is reached. (If you''re using a blender, do this in two batches.)
Pour mixture back into large pot and bring to a boil. Salt and pepper to taste.
'",45,,,,"Zucchini,Potato,Onion,Cream,Chicken,Pepper",,https://images.media-allrecipes.com/userphotos/560x315/960941.jpg
Curry Chicken Salad  ,"Place eggs in a saucepan and cover completely with cold water. Bring water to a boil. Cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.
In a large bowl, combine the chicken, celery, eggs, green onions, dill relish, curry and mayonnaise. Stir together until mixed well. Refrigerate until chilled.
",60,,,,"Egg,Chicken,Celery,Green Onion,Pickles,Curry,Mayonnaise",,https://images.media-allrecipes.com/userphotos/560x315/683904.jpg
Slow Cooker Macaroni and Cheese I  ,"Coat the inside of the slow cooker with cooking spray.
In a large bowl, beat eggs with fresh and evaporated milks. Mix in uncooked macaroni and 3 cups shredded cheese.  Stir in salt and black pepper. Transfer to slow cooker, and sprinkle remaining 1 cup cheese on top.
Cook on low for 5 to 6 hours. Do not stir or remove lid while cooking.
",370,,,,"Cooking Spray,Egg,Milk,Milk,Macaroni,Cheddar,Salt,Black Pepper",,https://images.media-allrecipes.com/userphotos/560x315/445072.jpg
Bacon Roll Ups II  ,"Preheat oven to 350 degrees F (175 degrees C).
Cut each slice of white bread in half horizontally. Spread with cream cheese. Tightly roll each piece of bread with half a piece of bacon. The bacon should be on the outside of the bread. Secure with toothpicks.
Arrange roll ups in a single layer on a medium baking dish. Bake in the preheated oven 30 minutes, or until bacon is no longer pink and bread is lightly browned. Serve warm.
",55,,,,"Bread,Cream Cheese,Bacon",,https://images.media-allrecipes.com/userphotos/250x250/625552.jpg
Easy Chicken Taco Filling  ,"Saute onion and bell pepper in a medium skillet until soft.
Place chicken breasts on top of saute mixture and spray with cooking spray.
Fry chicken with saute mixture until browned and cooked through, cutting or shredding chicken while it cooks.
",30,,,,"Chicken,Onion,Bell Pepper",,https://images.media-allrecipes.com/userphotos/560x315/492421.jpg
Sour Cream Dressing  ,"Whisk together the oil, vinegar, sour cream, salt, mustard, sugar, parsley, garlic and pepper.  Refrigerate at least 6 hours before serving.",370,4,Western,Brunch,"Olive,Red Wine,Sour Cream,Salt,Mustard,White Sugar,Parsley,Garlic,Black Pepper",,https://images.media-allrecipes.com/userphotos/250x250/1017502.jpg
European Black Bread  ,"Place the ingredients in the pan of the bread machine in the order suggested by the manufacturer. Select Normal setting, and then press Start.",185,2,Western,Breakfast,"Water,Vinegar,Bread,Flour,Bran,Margarine,White Sugar,Salt,Caraway,Onion,Cocoa Powder,Yeast","207,3.7,",https://images.media-allrecipes.com/userphotos/560x315/698.jpg
Strawberry Cake IV  ,"Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 9x13 inch pan.
In a large bowl, stir together cake mix and gelatin mix. Make a well in the center and pour in water, oil, and eggs. Stir in half of the container of strawberries. Beat on low speed until blended. Scrape bowl, and beat 4 minutes on medium speed.
Pour batter into prepared pan. Bake in the preheated oven for 30 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.
To make the Strawberry Frosting: In a large bowl combine margarine, confectioners'' sugar and the remaining half of the frozen strawberries. Beat on high speed until creamy. Add milk a tablespoon at a time until desired spreading consistency is achieved. Spread on cooled cake.",90,1,Western,Dessert,"Cake,Strawberry,Water,Vegetable Oil,Egg,Strawberry,Margarine,Sugar,Strawberry,Milk",,https://images.media-allrecipes.com/userphotos/560x315/246549.jpg
Kalamata Olive and Garlic Bread  ,"In a medium bowl dissolve sugar in 1/2 cup warm water. To proof yeast, stir in yeast and let stand for 5 to 10 minutes in a warm place.
Preheat oven to 105 degree F (40 degrees C). Warm an oven-safe bowl in the oven.
Place flour in bowl of food processor. Add salt and pulse for a few seconds.
Start food processor. Pour proofed yeast into flour through hole. Immediately add the additional 3/4 cup warm water, then the olive oil. Process for about 1 minute or until dough ball cleans the sides of the processor bowl. If dough is too wet add a little flour through the top while processing, or if too dry, add a little more water.
Turn off food processor. Remove lid and transfer dough to the heated bowl. Cover with a plate or plastic wrap.
Let rise for a half hour in a warm place, like the lukewarm oven.
In a small bowl, combine minced garlic and chopped olives. Set aside.
Once dough has risen, transfer dough to a lightly floured board. Make an indentation in the dough and place olive mixture inside. Knead dough 10 times. Bulk of mixture should remain in middle of dough. Form dough into a log or round loaf shape.
Grease a pie pan (for a round loaf) or a baking sheet (for a log) and dust with cornmeal. Place loaf on prepared pan, cover with greased plastic wrap, and let rise until doubled, about 30 minutes.
Preheat oven to 350 degrees F (175 degrees C).
Bake bread in preheated oven until browned and loaf sounds hollow when tapped, about 30 minutes. Remove from oven and cool on a wire rack.
",120,6,Western,Snack,"Flour,Water,White Sugar,Yeast,Salt,Olive,Garlic,Olive,Cornmeal",,https://images.media-allrecipes.com/userphotos/560x315/870418.jpg
Gooey Bars  ,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch pan.
In a large bowl, mix together the cake mix, melted butter and 1 egg until smooth. Batter will be thick. Spread evenly into the bottom of the prepared pan. Next, sprinkle the chocolate chips over the layer of dough. Finally, beat the cream cheese, 2 eggs and confectioners'' sugar together in a medium bowl until smooth. Pour as evenly as you can over the chocolate chips.
Bake for 35 to 40 minutes in the preheated oven, until the top is set. Let cool for at least 30 minutes before cutting into bars.",55,6,Western,Dessert,"Cake,Butter,Egg,Chocolate,Cream Cheese,Egg,Sugar",,https://images.media-allrecipes.com/userphotos/560x315/1438606.jpg
